30993
59801,59801,2225,2,2,2
2225,2225,51489,1,1,3
51489,51489,63693,2,2,5
63693,63693,65074,3,3,8
65074,65074,30389,4,4,12
30389,30389,92493,1,1,13
92493,92493,49135,2,2,15
49135,49135,83523,1,1,16
83523,83523,37766,2,2,18
37766,37766,16728,2,2,20
16728,16728,74433,1,1,21
74433,74433,64881,2,2,23
64881,64881,4280,2,2,25
4280,4280,93171,1,1,26
93171,93171,91649,2,2,28
91649,91649,85163,2,2,30
85163,85163,61161,2,2,32
61161,61161,47441,2,2,34
47441,47441,47265,2,2,36
47265,47265,17338,2,2,38
17338,17338,85194,1,1,39
85194,85194,51669,2,2,41
51669,51669,17817,2,2,43
17817,17817,41112,1,1,44
41112,41112,45456,2,2,46
45456,45456,10451,3,3,49
10451,10451,57276,1,1,50
57276,57276,40707,2,2,52
40707,40707,15801,2,2,54
15801,15801,79337,1,1,55
79337,79337,44392,2,2,57
44392,44392,7505,2,2,59
7505,7505,89319,1,1,60
89319,89319,42883,2,2,62
42883,42883,74846,1,1,63
74846,74846,366,2,2,65
366,366,95095,1,1,66
95095,95095,13153,2,2,68
13153,13153,27507,1,1,69
27507,27507,94963,2,2,71
94963,94963,23744,3,3,74
23744,23744,66363,1,1,75
66363,66363,54633,2,2,77
54633,54633,70285,1,1,78
70285,70285,65185,2,2,80
65185,65185,94133,1,1,81
94133,94133,90621,2,2,83
90621,90621,59241,2,2,85
59241,59241,76588,1,1,86
76588,76588,86984,2,2,88
86984,86984,4781,3,3,91
4781,4781,93233,1,1,92
93233,93233,80135,2,2,94
80135,80135,60550,2,2,96
60550,60550,12433,2,2,98
12433,12433,4309,2,2,100
4309,4309,93925,1,1,101
93925,93925,80065,2,2,103
80065,80065,88114,1,1,104
88114,88114,74897,2,2,106
74897,74897,28046,2,2,108
28046,28046,99377,1,1,109
99377,99377,48137,2,2,111
48137,48137,31009,2,2,113
31009,31009,89912,1,1,114
89912,89912,5094,2,2,116
5094,5094,47602,1,1,117
47602,47602,74427,2,2,119
74427,74427,27,3,3,122
27,27,15601,1,1,123
15601,15601,31073,2,2,125
31073,31073,46329,3,3,128
46329,46329,37459,4,4,132
37459,37459,90921,1,1,133
90921,90921,70305,2,2,135
70305,70305,2760,2,2,137
2760,2760,5541,1,1,138
5541,5541,41631,2,2,140
41631,41631,76631,3,3,143
76631,76631,27509,4,4,147
27509,27509,62481,1,1,148
62481,62481,3341,2,2,150
3341,3341,42069,1,1,151
42069,42069,15166,2,2,153
15166,15166,3623,2,2,155
3623,3623,47147,1,1,156
47147,47147,52199,2,2,158
52199,52199,75105,3,3,161
75105,75105,25007,4,4,165
25007,25007,74570,1,1,166
74570,74570,53455,2,2,168
53455,53455,37768,2,2,170
37768,37768,45909,1,1,171
45909,45909,36921,2,2,173
36921,36921,22701,2,2,175
22701,22701,92773,1,1,176
92773,92773,64645,2,2,178
64645,64645,57011,2,2,180
57011,57011,623,2,2,182
623,623,70796,1,1,183
70796,70796,99311,2,2,185
99311,99311,92381,3,3,188
92381,92381,53165,2,2,190
53165,53165,61451,1,1,191
61451,61451,41889,2,2,193
41889,41889,80241,1,1,194
80241,80241,92273,2,2,196
92273,92273,78331,3,3,199
78331,78331,90017,1,1,200
90017,90017,27301,2,2,202
27301,27301,32427,1,1,203
32427,32427,34185,2,2,205
34185,34185,50548,3,3,208
50548,50548,36899,4,4,212
36899,36899,2889,2,2,214
2889,2889,95041,1,1,215
95041,95041,99007,2,2,217
99007,99007,50129,3,3,220
50129,50129,95056,1,1,221
95056,95056,18361,2,2,223
18361,18361,97993,1,1,224
97993,97993,63141,2,2,226
63141,63141,65569,1,1,227
65569,65569,74644,2,2,229
74644,74644,55853,3,3,232
55853,55853,7786,2,2,234
7786,7786,32643,1,1,235
32643,32643,21806,2,2,237
21806,21806,84365,1,1,238
84365,84365,34843,2,2,240
34843,34843,30377,2,2,242
30377,30377,51817,1,1,243
51817,51817,43361,2,2,245
43361,43361,28402,2,2,247
28402,28402,42747,1,1,248
42747,42747,11847,2,2,250
11847,11847,91849,1,1,251
91849,91849,63826,2,2,253
63826,63826,64579,1,1,254
64579,64579,35323,2,2,256
35323,35323,90701,1,1,257
90701,90701,47472,2,2,259
47472,47472,92001,1,1,260
92001,92001,26629,2,2,262
26629,26629,78146,1,1,263
78146,78146,75865,2,2,265
75865,75865,38261,2,2,267
38261,38261,86241,1,1,268
86241,86241,98281,2,2,270
98281,98281,78926,3,3,273
78926,78926,92153,1,1,274
92153,92153,66421,2,2,276
66421,66421,78914,1,1,277
78914,78914,49903,2,2,279
49903,49903,49509,2,2,281
49509,49509,94656,1,1,282
94656,94656,57025,2,2,284
57025,57025,20961,2,2,286
20961,20961,54110,1,1,287
54110,54110,55201,2,2,289
55201,55201,18620,3,3,292
18620,18620,15918,2,2,294
15918,15918,71642,1,1,295
71642,71642,35053,2,2,297
35053,35053,15665,2,2,299
15665,15665,81045,1,1,300
81045,81045,43525,2,2,302
43525,43525,26571,2,2,304
26571,26571,72748,1,1,305
72748,72748,74549,2,2,307
74549,74549,53991,3,3,310
53991,53991,67421,1,1,311
67421,67421,10481,2,2,313
10481,10481,15137,1,1,314
15137,15137,96065,2,2,316
96065,96065,74380,3,3,319
74380,74380,49881,2,2,321
49881,49881,23173,2,2,323
23173,23173,85781,1,1,324
85781,85781,72904,2,2,326
72904,72904,89020,1,1,327
89020,89020,1635,2,2,329
1635,1635,55275,1,1,330
55275,55275,79971,2,2,332
79971,79971,94861,3,3,335
94861,94861,2240,4,4,339
2240,2240,25312,1,1,340
25312,25312,23933,2,2,342
23933,23933,44479,1,1,343
44479,44479,43608,2,2,345
43608,43608,46871,1,1,346
46871,46871,16275,2,2,348
16275,16275,2657,2,2,350
2657,2657,99557,1,1,351
99557,99557,10941,2,2,353
10941,10941,25801,1,1,354
25801,25801,93783,2,2,356
93783,93783,62161,3,3,359
62161,62161,69937,1,1,360
